
RUNNING EXPERIMENT WITH PARAMS: numRecords=1200 | noiseAmplitude=1 | signalAmplitude=1.0 | signalMean=1.0 | signalPeriod=20.0 


-> Training SP. Index=0. LEARNING: SP is ON | TM is OFF | Classifier is OFF 
=> INDEX=0 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  160   161   162 ..., 65469 65470 65471]
=> INDEX=1 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  864   865   866 ..., 65213 65214 65215]
=> INDEX=2 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1472  1473  1474 ..., 65213 65214 65215]
=> INDEX=3 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  256   257   258 ..., 65213 65214 65215]
=> INDEX=4 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1504  1505  1506 ..., 63901 63902 63903]
=> INDEX=5 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1632  1633  1634 ..., 65213 65214 65215]
=> INDEX=6 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1152  1153  1154 ..., 65213 65214 65215]
=> INDEX=7 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  608   609   610 ..., 64445 64446 64447]
=> INDEX=8 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1280  1281  1282 ..., 63645 63646 63647]
=> INDEX=9 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1152  1153  1154 ..., 65213 65214 65215]
=> INDEX=10 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  160   161   162 ..., 65213 65214 65215]
=> INDEX=11 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  416   417   418 ..., 65213 65214 65215]
=> INDEX=12 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2272  2273  2274 ..., 65469 65470 65471]
=> INDEX=13 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2656  2657  2658 ..., 61469 61470 61471]
=> INDEX=14 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1504  1505  1506 ..., 61725 61726 61727]
=> INDEX=15 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[   64    65    66 ..., 64093 64094 64095]
=> INDEX=16 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2656  2657  2658 ..., 62365 62366 62367]
=> INDEX=17 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2656  2657  2658 ..., 64637 64638 64639]
=> INDEX=18 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2880  2881  2882 ..., 65213 65214 65215]
=> INDEX=19 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2656  2657  2658 ..., 62365 62366 62367]
=> INDEX=20 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1152  1153  1154 ..., 65213 65214 65215]
=> INDEX=21 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1152  1153  1154 ..., 65213 65214 65215]
=> INDEX=22 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1280  1281  1282 ..., 64445 64446 64447]
=> INDEX=23 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1152  1153  1154 ..., 65213 65214 65215]
=> INDEX=24 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  608   609   610 ..., 64445 64446 64447]
=> INDEX=25 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  736   737   738 ..., 64445 64446 64447]
=> INDEX=26 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  608   609   610 ..., 64445 64446 64447]
=> INDEX=27 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  608   609   610 ..., 64445 64446 64447]
=> INDEX=28 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1280  1281  1282 ..., 65213 65214 65215]
=> INDEX=29 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  416   417   418 ..., 65213 65214 65215]
=> INDEX=30 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  160   161   162 ..., 65469 65470 65471]
=> INDEX=31 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  256   257   258 ..., 65213 65214 65215]
=> INDEX=32 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2656  2657  2658 ..., 62365 62366 62367]
=> INDEX=33 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2656  2657  2658 ..., 64637 64638 64639]
=> INDEX=34 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  160   161   162 ..., 64637 64638 64639]
=> INDEX=35 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[   64    65    66 ..., 62557 62558 62559]
=> INDEX=36 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2656  2657  2658 ..., 64637 64638 64639]
=> INDEX=37 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  160   161   162 ..., 64637 64638 64639]
=> INDEX=38 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2880  2881  2882 ..., 65213 65214 65215]
=> INDEX=39 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1472  1473  1474 ..., 65213 65214 65215]
=> INDEX=40 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[   32    33    34 ..., 65213 65214 65215]
=> INDEX=41 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  256   257   258 ..., 65213 65214 65215]
=> INDEX=42 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1152  1153  1154 ..., 65213 65214 65215]
=> INDEX=43 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  608   609   610 ..., 64445 64446 64447]
=> INDEX=44 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1280  1281  1282 ..., 65213 65214 65215]
=> INDEX=45 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1280  1281  1282 ..., 65213 65214 65215]
=> INDEX=46 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  736   737   738 ..., 64445 64446 64447]
=> INDEX=47 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1280  1281  1282 ..., 64445 64446 64447]
=> INDEX=48 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1152  1153  1154 ..., 65213 65214 65215]
=> INDEX=49 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 1472  1473  1474 ..., 65213 65214 65215]
=> INDEX=50 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[  160   161   162 ..., 65469 65470 65471]
=> INDEX=51 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2656  2657  2658 ..., 64637 64638 64639]
=> INDEX=52 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[   64    65    66 ..., 63805 63806 63807]
=> INDEX=53 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[ 2656  2657  2658 ..., 64637 64638 64639]
=> INDEX=54 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[   64    65    66 ..., 64381 64382 64383]
=> INDEX=55 |  actualValue=0.0 | anomalyScore=[ 0.] | tpOutNZ=[   64    65    66 ..., 64093 64094 64095]
